Timestamp,Ocean_Gen_MW
2024-01-01 20:00:00,0
2024-01-01 20:15:00,21
2024-01-01 20:30:00,5
2024-01-01 20:45:00,2
2024-01-01 21:00:00,19
2024-01-01 21:15:00,0
2024-01-01 21:30:00,0
2024-01-01 21:45:00,17
2024-01-01 22:00:00,20
2024-01-01 22:15:00,34
2024-01-01 22:30:00,35
2024-01-01 22:45:00,72
2024-01-01 23:00:00,94
2024-01-01 23:15:00,102
2024-01-01 23:30:00,106
2024-01-01 23:45:00,88
2024-01-02 00:00:00,165
2024-01-02 00:15:00,194
2024-01-02 00:30:00,202
2024-01-02 00:45:00,190
2024-01-02 01:00:00,238
2024-01-02 01:15:00,259
2024-01-02 01:30:00,287
2024-01-02 01:45:00,251
2024-01-02 02:00:00,275
2024-01-02 02:15:00,304
2024-01-02 02:30:00,296
2024-01-02 02:45:00,276
2024-01-02 03:00:00,308
2024-01-02 03:15:00,310
2024-01-02 03:30:00,297
2024-01-02 03:45:00,293
2024-01-02 04:00:00,275
2024-01-02 04:15:00,299
2024-01-02 04:30:00,238
2024-01-02 04:45:00,230
2024-01-02 05:00:00,225
2024-01-02 05:15:00,225
2024-01-02 05:30:00,159
2024-01-02 05:45:00,143
2024-01-02 06:00:00,109
2024-01-02 06:15:00,131
2024-01-02 06:30:00,89
2024-01-02 06:45:00,85
2024-01-02 07:00:00,88
2024-01-02 07:15:00,46
2024-01-02 07:30:00,49
2024-01-02 07:45:00,25
2024-01-02 08:00:00,34
2024-01-02 08:15:00,21
2024-01-02 08:30:00,0
2024-01-02 08:45:00,0
2024-01-02 09:00:00,21
2024-01-02 09:15:00,9
2024-01-02 09:30:00,0
2024-01-02 09:45:00,25
2024-01-02 10:00:00,0
2024-01-02 10:15:00,59
2024-01-02 10:30:00,64
2024-01-02 10:45:00,64
2024-01-02 11:00:00,78
2024-01-02 11:15:00,88
2024-01-02 11:30:00,125
2024-01-02 11:45:00,123
2024-01-02 12:00:00,155
2024-01-02 12:15:00,187
2024-01-02 12:30:00,178
2024-01-02 12:45:00,195
2024-01-02 13:00:00,201
2024-01-02 13:15:00,220
2024-01-02 13:30:00,219
2024-01-02 13:45:00,284
2024-01-02 14:00:00,316
2024-01-02 14:15:00,317
2024-01-02 14:30:00,262
2024-01-02 14:45:00,313
2024-01-02 15:00:00,328
2024-01-02 15:15:00,290
2024-01-02 15:30:00,297
2024-01-02 15:45:00,248
2024-01-02 16:00:00,285
2024-01-02 16:15:00,248
2024-01-02 16:30:00,260
2024-01-02 16:45:00,210
2024-01-02 17:00:00,236
2024-01-02 17:15:00,228
2024-01-02 17:30:00,173
2024-01-02 17:45:00,147
2024-01-02 18:00:00,107
2024-01-02 18:15:00,125
2024-01-02 18:30:00,100
2024-01-02 18:45:00,62
2024-01-02 19:00:00,84
2024-01-02 19:15:00,50
2024-01-02 19:30:00,22
2024-01-02 19:45:00,20
2024-01-02 20:00:00,42
2024-01-02 20:15:00,23
2024-01-02 20:30:00,3
2024-01-02 20:45:00,14
2024-01-02 21:00:00,0
2024-01-02 21:15:00,2
2024-01-02 21:30:00,8
2024-01-02 21:45:00,2
2024-01-02 22:00:00,29
2024-01-02 22:15:00,15
2024-01-02 22:30:00,54
2024-01-02 22:45:00,70
2024-01-02 23:00:00,17
2024-01-02 23:15:00,116
2024-01-02 23:30:00,50
2024-01-02 23:45:00,118
